NCT Number,Phases_NCT,PMID
NCT01024231,Phase 1,23724867
NCT01024231,Phase 1,29040030
NCT01024231,Phase 1,26771550
NCT03543189,Phase 1|Phase 2,32651467
NCT02768558,Phase 3,27923550
NCT03063450,Phase 3,29669604
NCT02496208,Phase 1,32915679
NCT01896999,Phase 1|Phase 2,32853585
NCT01354431,Phase 2,27243803
NCT01354431,Phase 2,25452452
NCT03939975,Phase 2,33163408
NCT02374242,Phase 2,29602646
NCT02041533,Phase 3,28636851
NCT02409368,Phase 2,32028209
NCT02477826,Phase 3,32674209
NCT02477826,Phase 3,31562796
NCT02477826,Phase 3,31195357
NCT02477826,Phase 3,30393621
NCT02477826,Phase 3,29658845
NCT02488759,Phase 1|Phase 2,31487218
NCT02488759,Phase 1|Phase 2,32324435
NCT02488759,Phase 1|Phase 2,30170630
NCT02320058,Phase 2,30134131
NCT01592370,Phase 1|Phase 2,25482239
NCT01592370,Phase 1|Phase 2,27269947
NCT02060188,Phase 2,28734759
NCT02060188,Phase 2,29355075
NCT02737475,Phase 1|Phase 2,33148673
NCT02598960,Phase 1|Phase 2,31697308
NCT02596035,Phase 4,32718906
NCT02596035,Phase 4,32641261
NCT02581631,Phase 1|Phase 2,31398081
NCT01658878,Phase 1|Phase 2,33001135
NCT01658878,Phase 1|Phase 2,32710922
NCT01658878,Phase 1|Phase 2,31176752
NCT01658878,Phase 1|Phase 2,28434648
NCT02523469,Phase 1|Phase 2,29628312
NCT02329847,Phase 1|Phase 2,30642819
NCT01721746,Phase 3,25795410
NCT01721746,Phase 3,28671856
NCT02714218,Phase 3,30811280
NCT02017717,Phase 3,32437507
NCT02593786,Phase 1|Phase 2,31048330
NCT03635983,Phase 3,32723187
NCT02960854,Phase 1,31576433
NCT02387996,Phase 2,28131785
NCT03141177,Phase 3,33058158
NCT01928394,Phase 1|Phase 2,31629915
NCT01928394,Phase 1|Phase 2,27733243
NCT01928394,Phase 1|Phase 2,27330809
NCT01928394,Phase 1|Phase 2,27269741
NCT01928394,Phase 1|Phase 2,31100038
NCT01928394,Phase 1|Phase 2,30110194
NCT01928394,Phase 1|Phase 2,29489427
NCT00703469,Phase 1,23717490
NCT03661320,Phase 3,31823654
NCT02572167,Phase 1|Phase 2,29229594
NCT02156804,Phase 2,31581055
NCT02156804,Phase 2,31445199
NCT03785925,Phase 2,32938232
NCT02066636,Phase 3,31121324
NCT02923934,Phase 2,32729929
NCT02518958,Phase 1,26933422
NCT02009449,Phase 1,31563517
NCT00730639,Phase 1,31343665
NCT00730639,Phase 1,22658127
NCT00730639,Phase 1,24590637
NCT02897765,Phase 1,33064988
NCT03416244,Phase 2,30871493
