NCT Number,Phases_NCT,PMID
NCT02596035,4_0,32641261
NCT02581631,2_0,31398081
NCT01658878,2_0,33001135
NCT01658878,2_0,32710922
NCT01658878,2_0,31176752
NCT01658878,2_0,28434648
NCT02523469,2_0,29628312
NCT02329847,2_0,30642819
NCT01721746,3_0,25795410
NCT01721746,3_0,28671856
NCT02714218,3_0,30811280
NCT02017717,3_0,32437507
NCT02593786,2_0,31048330
NCT03635983,3_0,32723187
NCT02960854,1_0,31576433
NCT02387996,2_0,28131785
NCT03141177,3_0,33058158
NCT01928394,2_0,31629915
NCT01928394,2_0,27733243
NCT01928394,2_0,27330809
NCT01928394,2_0,27269741
NCT01928394,2_0,31100038
NCT01928394,2_0,30110194
NCT01928394,2_0,29489427
NCT00703469,1_0,23717490
NCT03661320,3_0,31823654
NCT02572167,2_0,29229594
NCT02156804,2_0,31581055
NCT02156804,2_0,31445199
NCT03785925,2_0,32938232
NCT02066636,3_0,31121324
NCT02923934,2_0,32729929
NCT02518958,1_0,26933422
NCT02009449,1_0,31563517
NCT00730639,1_0,31343665
NCT00730639,1_0,22658127
NCT00730639,1_0,24590637
NCT02897765,1_0,33064988
NCT03416244,2_0,30871493
NCT03914443,1_0,32396014
NCT02983045,2_0,33298619
NCT02983045,2_0,32439653
NCT02960906,2_0,32620212
NCT03759184,1_0,32508818
NCT01042379,2_0,32053137
NCT00732615,3_0,32738041
NCT00732615,3_0,24622413
NCT00732615,3_0,29099947
NCT00172081,3_0,17339618
NCT01268098,3_0,28942334
NCT01268098,3_0,32738041
NCT01321723,2_0,23234813
NCT01321723,2_0,23719683
NCT00473265,3_0,29972871
NCT02910466,4_0,32738041
NCT02910466,4_0,31310310
NCT01297309,3_0,32738041
NCT01297309,3_0,31369089
NCT01371747,2_0,26172895
NCT01371747,2_0,29767459
NCT02603887,1_0,31405950
NCT02826564,1_0,28662677
NCT02626000,1_0,32669371
NCT02665650,1_0,32730586
NCT01295827,1_0,33360855
NCT01295827,1_0,32305010
NCT01295827,1_0,31395089
NCT01295827,1_0,30876831
NCT01295827,1_0,30736858
NCT01295827,1_0,30715153
NCT01295827,1_0,30202085
NCT01295827,1_0,29685882
NCT01295827,1_0,29283791
NCT01295827,1_0,28551359
NCT01295827,1_0,28168303
NCT01295827,1_0,27998967
NCT01295827,1_0,27863197
NCT01295827,1_0,27117531
NCT01295827,1_0,27092830
NCT01295827,1_0,26951310
NCT01295827,1_0,25891174
NCT01295827,1_0,25034862
NCT01295827,1_0,23724846
NCT01295827,1_0,31154919
NCT01295827,1_0,29486723
NCT02054806,1_0,32320048
NCT02054806,1_0,31870883
NCT02054806,1_0,30832606
NCT02054806,1_0,30557521
NCT02054806,1_0,29992241
NCT02054806,1_0,29559561
NCT02054806,1_0,29462123
NCT02054806,1_0,29284010
NCT02054806,1_0,29095678
NCT02054806,1_0,28837405
NCT02054806,1_0,28813164
NCT02054806,1_0,28489510
NCT02054806,1_0,28453692
NCT02054806,1_0,28291584
NCT02054806,1_0,32359091
NCT02054806,1_0,30522700
NCT01848834,1_0,29284202
NCT01848834,1_0,28081914
NCT01848834,1_0,27247226
NCT01848834,1_0,27157491
NCT01848834,1_0,27138582
NCT01848834,1_0,31395089
NCT01848834,1_0,27646946
NCT02007070,1_0,30618179
NCT02132754,1_0,33355238
NCT02553499,1_0,32809217
NCT02862457,1_0,32564277
NCT02622074,1_0,32278621
NCT02303990,1_0,30318516
NCT02318771,1_0,29632720
NCT02318771,1_0,27663515
NCT03792347,1_0,33373868
NCT02621398,1_0,32077891
NCT02595866,1_0,31154457
NCT02560636,1_0,30012528
NCT02586207,1_0,32479189
